date,fund,fund_id,universe,method,portfolio_return,growth_of_1,drawdown
2021-07-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.004214083436174789,1.0764528601090555,-0.012581295493090394
2021-07-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004451271200653814,1.0812444437241204,-0.008186027050731903
2021-07-29,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010639017713147195,1.0927478225131433,0.0
2021-07-30,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0028345301011125815,1.0896503959173045,-0.0028345301011126756
2021-08-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,4.6214847305931054e-05,1.0897007539439687,-0.0027884462511824637
2021-08-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010554102269601897,1.1012015671443556,0.0
2021-08-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.001453822527552597,1.0996006154986648,-0.0014538225275526617
2021-08-05,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005005752571906947,1.1051049441077678,0.0
2021-08-06,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005135284336391801,1.1107799722173137,0.0
2021-08-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.003055639253946503,1.1141741151029185,0.0
2021-08-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.012691087237666905,1.12831419599564,0.0
2021-08-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.008117513883091863,1.137473302146124,0.0
2021-08-12,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005695504354457168,1.143951786291576,0.0
2021-08-13,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0013751674747455181,1.1455249115807613,0.0
