date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2023-05-30,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-05-02,0.13414294275067748,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-05-26
2023-05-31,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-05-02,0.12419632505885922,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-05-30
2023-06-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-05-02,0.16217630757286186,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-05-31
2023-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.10725190160290159,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-01
2023-06-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.0893304134948385,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-02
2023-06-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.08644337939837937,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-05
2023-06-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.1477671225749559,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2023-06-06
2023-06-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.2206016166666666,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-07
2023-06-09,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.08916954819624816,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-08
2023-06-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.10007994377041084,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-09
2023-06-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.11065634722222217,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-12
2023-06-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.11575869476063148,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-13
2023-06-15,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.21377610816256323,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-14
2023-06-16,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.08406461270190381,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-15
2023-06-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.10159183638716356,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-16
2023-06-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.056415067785760296,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-20
2023-06-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.09294657650793649,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-21
2023-06-23,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.12219590007215005,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-22
2023-06-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.09178699682539676,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-23
2023-06-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.15373347705627702,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-26
2023-06-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.1694394222222222,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-27
2023-06-29,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.09451837979184849,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-28
2023-06-30,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.1060337734446109,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-29
2023-07-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-06-02,0.027204277421324186,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-06-30
2023-07-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.14072681251803745,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-03
2023-07-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.19741220882173377,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-05
2023-07-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.12241435107670104,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-06
2023-07-10,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.07026461468253968,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-07
2023-07-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.12286214690134421,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-10
2023-07-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.10485688827838827,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-11
2023-07-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.12301528982683979,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-12
2023-07-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.103737502014652,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-13
2023-07-17,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.09454000724896015,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-14
2023-07-18,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.0743802539708829,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-17
2023-07-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.12959099717673628,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-18
2023-07-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.1057188316059757,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-19
2023-07-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.0896463462093462,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-20
2023-07-24,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.061844354600351314,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-21
2023-07-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.13320090032467527,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-24
2023-07-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.061328933742925716,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-25
2023-07-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.09821129146577104,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-26
2023-07-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.10087345768574023,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-27
2023-07-31,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.13959832901622182,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-07-28
2023-08-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-07-05,0.16824944317658988,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2023-07-31
2023-08-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.16780737972509516,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-01
2023-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.07470740804510205,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-02
