effective_date,fund,fund_id,universe,method,allocation_group,target_weight
2023-10-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,RealEstate,3.2204592857154664e-17
2023-10-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Tech,0.20000000000000007
2023-10-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Utilities,4.883561554141969e-17
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Comm,0.10000000000000007
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Consumer,0.10000000000000007
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Energy,0.02213705457545021
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Financials,9.588528989377701e-17
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Healthcare,0.1806681013871544
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Industrials,0.19287455808666765
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Materials,0.10000000000000002
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,RealEstate,8.62026018830751e-17
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Tech,0.204320285950727
2023-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Utilities,0.10000000000000026
2023-12-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Comm,0.15436102690666723
2023-12-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Consumer,0.09999999999999987
2023-12-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Energy,1.3956743472456526e-16
2023-12-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Financials,0.0999999999999998
2023-12-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,Healthcare,0.06825081080858411
